cycle,px_hex,py_hex,v_hex,theta_hex,delta_hex,a_hex,z_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex
25,000092D2C4D3,FFFEC71C411B,00030730BA6A,FFFFFEFE30CF,FFFFFA1F869C,FFFFFFDE814C,FFFFFC473FD4,000001FBD0BB,000001EB59BF,00004CE9AB7A,000002824C8B,000000FC568A,00007CAD78FF,000000E7AFF5
26,000096522357,FFFEBBA8FBCF,00030BD6F0A5,FFFFFE83D177,FFFFFAFD6E6C,000000D0C332,FFFFFCA4F481,000001F88E89,000001E38711,00004FDCC93C,00000125EC42,000000D9CA21,00008169398B,000000E7AFF6
27,00009C250C6C,FFFEAF9E3C8A,0003096ED8C3,FFFFFE0CFA98,FFFFFAEF9431,00000069037B,FFFFFCBED61D,000001F72C17,000001EC4B69,0000502CA17B,00000236B4D7,000000FAA32C,0000861CC088,000000E7AFF5
28,00009F9EBF78,FFFEA0938824,00030B691C11,FFFFFF6FC9FB,FFFFFB62AFFD,000000D654B7,FFFFFC1F9C9B,000001F3BA22,000001F6DF26,000042AE7801,0000013B326A,000000D72730,00008A1CFC01,000000E7AFF6
29,0000A3832E5B,FFFE8CF25BC8,0002FBD43A27,FFFFFF01DCF0,FFFFFB8190A0,FFFFFD81817A,FFFFFB6879B4,000001F86704,000001EE0B1F,0000374CE453,000000EE56F1,000000F6FC75,00008E29A0EC,000000E7AFF5
30,0000A5D18192,FFFE778BCC48,0002FA64103D,FFFFFEF54F34,FFFFFB6E55CC,FFFFFD32320E,FFFFFB353EE3,000001F94D5C,000001E3322C,000041992559,0000010C4C20,000000FEF498,00009331BDED,000000E7AFF6
31,0000AB229F04,FFFE5F61BE98,0002F9E02DB5,FFFFFF858719,FFFFFA48C792,FFFFFCDEDAE2,FFFFFA5E4B6C,000001F92248,000001E6632D,00004C318373,00000137E321,000000F35E9F,0000983B82DB,000000E7AFF5
32,0000AC454299,FFFE4A3F6E9E,0002FC6D9B69,FFFFFE199A30,FFFFF864F74A,FFFFFD20D684,FFFFFA55CAFE,000001F7381A,000001E73D54,0000565B8552,000000ACCE61,000000CDECAD,00009D43C398,000000E7AFF6
33,0000AE494AD1,FFFE33613CAA,0002F98FBC27,000002E55702,FFFFF6E9BDAF,FFFFFC11C3F0,FFFFFA0F026A,000001F19EE1,000001F38390,00005FF6F8DE,00000849AED7,000000A0F1EA,0000A21F9A07,000000E7AFF5
34,0000B34F6D72,FFFE1C2ECDBC,0002FE9BE391,0000023CDA06,FFFFF6BE706A,FFFFFD51537F,FFFFF9A9814B,000001EF56F6,000001FA8C4E,00003AFEF24C,000003CBEFEA,000000C68731,0000A478EFDF,000000E7AFF6
35,0000B4106F8D,FFFE063E4F32,0002FEDD32C2,FFFFFC72BC35,FFFFF6DD5844,FFFFFD67DB5E,FFFFF8EE3785,000001F2978A,000001FAB8C7,000030D54DB8,000001170CD8,000000C2EC0B,0000A83D812B,000000E7AFF5
36,0000B85C0CB2,FFFDEF4A7E09,0002FF9E7771,00000224806D,FFFFF6CD9D4A,FFFFFD9ED61F,FFFFF8FA17CA,000001EA0FC1,000001FD3665,00003831C8E4,000001661025,000000A16A10,0000AD03B402,000000E7AFF6
37,0000B8EC8774,FFFDDB3B9870,0002FC9CD8EB,00000135CC3F,FFFFF76C3691,FFFFFCD14752,FFFFF895543C,000001E841D1,000001EEFA9E,00004169D8F1,000000EE7FC6,000000C4A11B,0000B1F1A932,000000E7AFF5
38,0000B9162D9F,FFFDD1B1DB4E,00030904513C,0000016C5AD5,FFFFF6C1E60B,0000006F2535,FFFFF80EA4EF,000001F881A7,000001CC1170,0000424BEBD4,0000050968DE,000000ED45E6,0000B62C1CDB,000000E7AFF6
39,0000B9031B24,FFFDC7B9DB69,00030DEE21C3,FFFFFE2197A2,FFFFF840E9D9,000001E31D94,FFFFF72000B9,000001A23C37,000001D8F728,00003212708E,000000DCBC12,0000009AFC19,0000B8ECC834,000000E7AFF5
40,0000BA482806,FFFDC3E9093A,00030CFBAE7C,FFFFFFB30E73,FFFFF82D1551,00000199D5BE,FFFFF75485C0,000001EECCEF,000001F2B3A5,00003BE4FDF6,0000057B44F5,000000F77F47,0000BDE856CC,000000E7AFF6
41,0000B684D37D,FFFDC18BBA22,0002F2107AEA,00000458EE7D,FFFFF6FE418C,FFFFF94A13CB,FFFFF7FE1DBB,000001CAF3DA,00000197E5D4,00002610FA32,000008544CC3,000000C49E0C,0000BFCBC7AF,000000E7AFF5
42,0000B8462FE5,FFFDB74EFA2F,0002EF66B29F,FFFFFF91877B,FFFFF662DDFF,FFFFF881ED50,FFFFF85FE284,000001F473D6,000001F5DE7C,00002B1175CE,000000B0CF9D,0000009BFF88,0000C45278B3,000000E7AFF6
43,0000B785670D,FFFDAFFF5CD1,0002ED50A332,00000614A876,FFFFF69E41FA,FFFFF7D18E65,FFFFF7F01438,000001EB0F85,000001EE1060,0000328BCEF6,00000851E923,000000CC738C,0000C8F8CF00,000000E7AFF5
44,0000B5517DE4,FFFDA9DA349F,0002EC08C2A9,0000005BB2E2,FFFFF6A633B3,FFFFF76FD04E,FFFFF78D688B,000001F56B8E,000001EEC349,00003193926B,000001E76445,000000F91E0D,0000CCA79B6B,000000E7AFF6
45,0000B59DDE31,FFFDA55C5F22,0002EDDC17FB,000000521F2F,FFFFF6C840FC,FFFFF823F46E,FFFFF794CA78,000001F69BB0,000001F26EFF,00002E7315B3,00000112DF3A,000000EC91EF,0000CFFD30A3,000000E7AFF5
