cycle,px_hex,py_hex,v_hex,theta_hex,omega_hex,a_hex,z_hex,vz_hex,az_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex,p88_hex,p99_hex
94,0000C28789A9,FFFE78CB3927,0000075DD6D4,FFFFFEDB4C43,FFFFFFE657AC,000000808B80,FFFFFA600632,FFFFFF7F64A9,FFFFFFFFE1CD,00000127DF62,00000121BF0B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
95,0000C2070B90,FFFE731611B5,00000771AE33,FFFFFED773A4,FFFFFFE5C94D,000000526B74,FFFFFA5938F0,FFFFFF7F546D,FFFFFFFFE1ED,000001271083,00000121C5A7,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
96,0000C260C87E,FFFE6D36CE10,0000078773A5,FFFFFED408E9,FFFFFFE52750,0000005C7983,FFFFFAEB819A,FFFFFF8183ED,FFFFFFFFE7BB,0000012628DA,00000121C9A6,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
97,0000C289C154,FFFE675DAE89,0000079CFC84,FFFFFED086E3,FFFFFFE48877,0000005A4BCA,FFFFFBCDE126,FFFFFF84E0A2,FFFFFFFFF095,00000125F7EF,00000121CD7F,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
98,0000C27A29CE,FFFE5F435A5A,000007B9D4B2,FFFFFECBC4F4,FFFFFFE3AFF5,00000049E111,FFFFFBA216C0,FFFFFF84453F,FFFFFFFFEF6C,00000125C9F5,00000121D120,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
99,0000C22A235F,FFFE561D197D,000007D9B4BC,FFFFFEC65CEF,FFFFFFE2BC47,0000002C15B4,FFFFFB40D204,FFFFFF82E0B3,FFFFFFFFEC3F,000001256A3F,00000121D604,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
100,0000C1528B73,FFFE4C39A5CE,000007FACE1C,FFFFFEC02B82,FFFFFFE1A0EC,FFFFFFF31521,FFFFFB3502D6,FFFFFF82BDCA,FFFFFFFFEC4F,00000124F494,00000121DB84,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
101,0000C0F1AA28,FFFE41EB2DA7,0000081DC1BB,FFFFFEBA8311,FFFFFFE08A91,FFFFFFDB042C,FFFFFBBD7112,FFFFFF84C862,FFFFFFFFF208,000001247F9E,00000121DF87,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
102,0000C08902C9,FFFE374AF5B1,000008419FAA,FFFFFEB4EFCC,FFFFFFDF749D,FFFFFFC44A24,FFFFFB59BA29,FFFFFF835ABA,FFFFFFFFEED0,0000012446CD,00000121E79E,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
103,0000BFE8C89C,FFFE2D28C720,000008632B4C,FFFFFEAF763B,FFFFFFDE58F3,FFFFFFA4AF17,FFFFFB0BC9A4,FFFFFF823F01,FFFFFFFFEC63,000001242539,00000121EE2C,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
104,0000BF8D6971,FFFE22C25ECC,00000885DCDE,FFFFFEAA967F,FFFFFFDD64CD,FFFFFF96CDE7,FFFFFAF73059,FFFFFF81FB1C,FFFFFFFFEC25,000001241B7B,00000121F45E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
105,0000BF594348,FFFE17615DE1,000008AC4A98,FFFFFEA5E18E,FFFFFFDC8512,FFFFFF92AC72,FFFFFABE769C,FFFFFF812F41,FFFFFFFFEA8E,000001241357,00000121FAD1,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
106,0000BF997D71,FFFE0C02B37A,000008D37ED1,FFFFFEA26C23,FFFFFFDBFD67,FFFFFFA5E956,FFFFFAFDA5AF,FFFFFF82268B,FFFFFFFFED92,00000124012A,00000122010E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
107,0000BEF7034D,FFFE01361318,000008F7A1D2,FFFFFE9D7021,FFFFFFDAFDB5,FFFFFF8B480A,FFFFFBB0D81B,FFFFFF84D214,FFFFFFFFF4D9,00000123DD1C,000001220813,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
108,0000BE663453,FFFDF5EE009D,0000091D5868,FFFFFE98D2E7,FFFFFFDA0778,FFFFFF770BD8,FFFFFBAAF558,FFFFFF84C56E,FFFFFFFFF530,00000123DC32,000001220E97,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
109,0000BDBB4C71,FFFDEBDACE57,0000093E3F6E,FFFFFE949C5B,FFFFFFD91AFE,FFFFFF5F783F,FFFFFB72B74A,FFFFFF83FB70,FFFFFFFFF396,00000123E709,00000122154E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
110,0000BC756546,FFFDE36B1B37,00000957FB10,FFFFFE8FF342,FFFFFFD7C850,FFFFFF2D3D6F,FFFFFB4D0586,FFFFFF837717,FFFFFFFFF2A1,00000123FE0C,000001221B96,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
111,0000BC2F03D1,FFFDDB913207,0000097008D5,FFFFFE8D790C,FFFFFFD76898,FFFFFF2BE708,FFFFFAC1471D,FFFFFF8172EB,FFFFFFFFEDD6,000001244D3B,00000122208D,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
112,0000BBE941A7,FFFDD5D384D0,00000980482B,FFFFFE8B528B,FFFFFFD71C9D,FFFFFF29439F,FFFFFB4C0DCF,FFFFFF838640,FFFFFFFFF35A,000001245DAC,000001222498,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
113,0000BC7EC857,FFFDD06869C3,000009905490,FFFFFE8AF52A,FFFFFFD7B1C7,FFFFFF4C5B9E,FFFFFB4DC7D8,FFFFFF839601,FFFFFFFFF3AB,000001245FF5,00000122281F,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
114,0000BBB88E87,FFFDCA33220F,000009A25003,FFFFFE87F7F4,FFFFFFD6F0D5,FFFFFF31FBA1,FFFFFB4749CE,FFFFFF8386EC,FFFFFFFFF3D3,000001242704,000001222AF1,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
115,0000BB424352,FFFDC4783FC8,000009B274A2,FFFFFE85C59B,FFFFFFD67EC2,FFFFFF26FA91,FFFFFC7CF35B,FFFFFF881D0F,FFFFFFFFFFC3,000001243D0C,000001222E56,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
116,0000BAB03381,FFFDBF33FC0E,000009C0903E,FFFFFE8380B2,FFFFFFD5F793,FFFFFF178AE0,FFFFFC391E22,FFFFFF87271D,FFFFFFFFFD80,000001245669,000001223166,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
117,0000B9BDE79D,FFFDB9FFB73B,000009CDC547,FFFFFE80ADB8,FFFFFFD50DCA,FFFFFEF8E2E8,FFFFFBAE887A,FFFFFF852720,FFFFFFFFF897,0000012475A6,0000012233FD,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
118,0000B9DB5ABA,FFFDB4F43AD3,000009DAEDC4,FFFFFE7FE1D4,FFFFFFD55C36,FFFFFF085EA4,FFFFFB75F51A,FFFFFF845B8D,FFFFFFFFF6C4,00000124B253,000001223682,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
119,0000B998F1F8,FFFDB0742DE1,000009E5FB2D,FFFFFE7E7731,FFFFFFD537F5,FFFFFF0746F5,FFFFFBE1C084,FFFFFF85FA4B,FFFFFFFFFB0F,00000124A56D,0000012238DB,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
120,0000B938AABC,FFFDAB0C0C2B,000009F4428A,FFFFFE7CD3A0,FFFFFFD4F5DC,FFFFFF0225CC,FFFFFBC3BF13,FFFFFF8592AE,FFFFFFFFFA44,000001249F91,000001223AD0,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
121,0000B75D2E3F,FFFDA59D291F,00000A022A74,FFFFFE786BB2,FFFFFF5E3146,FFFFFEF27A18,FFFFFB1DF0A8,FFFFFF832C47,FFFFFFFFF451,00000163AAD0,000001224506,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
122,0000B7D53D1D,FFFDA03BAC45,00000A102E39,FFFFFE766C20,FFFFFF89A83A,FFFFFEF63BB9,FFFFFB8AC7B4,FFFFFF84CF0E,FFFFFFFFF8B7,0000015FA725,000001224678,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
123,0000B5E96C10,FFFD9B475A86,00000A1C3F83,FFFFFE70AD41,FFFFFF12C366,FFFFFEEE05C0,FFFFFB3A6300,FFFFFF83A9F3,FFFFFFFFF5F7,00000163CB7B,0000012249DB,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
124,0000B5F1A2C1,FFFD919181A9,0000096D2559,FFFFFE6DD132,FFFFFF4B5DBC,FFFFFB80DF5B,FFFFFBEDE8A4,FFFFFF865646,FFFFFFFFFCCC,000001F7FD4C,00000197C92E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
125,0000B74009E3,FFFD8D47DE10,000009682EDC,FFFFFE66C45B,FFFFFEA29A34,FFFFFBA7FB03,FFFFFC0B11AC,FFFFFF86CD2A,FFFFFFFFFE1E,0000018CB0EA,000001373EEE,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
126,0000B59EE843,FFFD8785305B,00000963CFD0,FFFFFE5D3A2F,FFFFFE83C893,FFFFFB9E88B0,FFFFFB8444BE,FFFFFF84DB85,FFFFFFFFF96E,000001A64519,0000012F6646,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
127,0000B4AE1820,FFFD815D6F67,000009637C69,FFFFFE54F9EB,FFFFFE89BC99,FFFFFBA3972C,FFFFFBC1B622,FFFFFF85CC03,FFFFFFFFFC18,00000134495B,0000012400EB,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
128,0000B3E6281A,FFFD7A8A6F01,0000096553C2,FFFFFE4D8A8F,FFFFFE8C83CD,FFFFFBA748FB,FFFFFB6C975D,FFFFFF84953A,FFFFFFFFF947,000001243EA8,000001225CAF,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
129,0000B2D297F9,FFFD73C62982,00000966EACE,FFFFFE4626C7,FFFFFE917241,FFFFFBAC8C2B,FFFFFB728DBA,FFFFFF84B515,FFFFFFFFF9E4,00000121E341,000001221AB3,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
130,0000B16DEB64,FFFD6D1437CE,00000967EF90,FFFFFE3EBEAF,FFFFFE97206C,FFFFFBB2AAE3,FFFFFB481E64,FFFFFF841EFF,FFFFFFFFF8B6,000001218AB2,000001220CBC,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
131,0000B0CBF9F9,FFFD64D42933,0000096F1AE6,FFFFFE396F3C,FFFFFE9EE412,FFFFFBBB9C43,FFFFFAA5B701,FFFFFF81C5A7,FFFFFFFFF30A,000001217D95,00000122062E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
132,0000AFA8E151,FFFD5CB6F4B8,0000097568F5,FFFFFE33C881,FFFFFEA73C2C,FFFFFBC5625D,FFFFFA447859,FFFFFF80617B,FFFFFFFFEFED,000001217BD5,000001220288,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
133,0000AF1DD964,FFFD54CE6400,0000097B7F18,FFFFFE2F6587,FFFFFEAFD91A,FFFFFBD01520,FFFFFA95DD36,FFFFFF819D49,FFFFFFFFF367,000001217BCD,00000121FEF6,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
134,0000ADDE6781,FFFD4C26342B,00000983AEF6,FFFFFE2AC705,FFFFFEB9F480,FFFFFBDCD56A,FFFFFA40F031,FFFFFF80677F,FFFFFFFFF0C7,000001217C12,00000121FBF7,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
135,0000AD921E60,FFFD439412D4,0000098C9C5A,FFFFFE27D382,FFFFFEC418EE,FFFFFBEABBCA,FFFFF9F98B30,FFFFFF7F64A8,FFFFFFFFEE87,000001217C81,00000121F90F,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
136,0000AC235E33,FFFD3A2B8CF8,000009978AA8,FFFFFE243169,FFFFFECFBA22,FFFFFBFB00F7,FFFFF98E2D04,FFFFFF7DDA88,FFFFFFFFEB21,000001217D0A,00000121F74F,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
137,0000AAFE5D83,FFFD3059DDA5,000009A467F5,FFFFFE21B611,FFFFFEDC09C6,FFFFFC0D8220,FFFFF9BE487B,FFFFFF7E9945,FFFFFFFFED77,000001217DC4,00000121F550,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
138,0000AA476D54,FFFD26F5BCA4,000009B083F8,FFFFFE1FED03,FFFFFEE7AAA9,FFFFFC206CBE,FFFFFA69CCE7,FFFFFF812823,FFFFFFFFF469,000001217E9B,00000121F42A,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
139,0000A8AFEF11,FFFD1DADBDF6,000009BB7E97,FFFFFE1D537E,FFFFFEF3655B,FFFFFC3439B5,FFFFF9AB3EF9,FFFFFF7E6520,FFFFFFFFEDC4,000001217F80,00000121F387,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
140,0000A7CD3DB3,FFFD142E374D,000009C85E8D,FFFFFE1C2A05,FFFFFEFF32F8,FFFFFC4A0DF7,FFFFF98BF7EC,FFFFFF7DF944,FFFFFFFFED19,000001218073,00000121F240,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
141,0000A739B42F,FFFD0A8C5801,000009D68404,FFFFFE1BC110,FFFFFF0AD148,FFFFFC61684B,FFFFF9F70EAB,FFFFFF7F95DA,FFFFFFFFF19F,00000121816A,00000121F205,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
142,0000A566D28E,FFFD01248B11,000009E2C96C,FFFFFE19FBD7,FFFFFF1647CE,FFFFFC794C29,FFFFF9B1BDEC,FFFFFF7E9AF2,FFFFFFFFEF93,00000121828F,00000121F2FA,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
143,0000A47C0433,FFFCF7B97134,000009F0A5A2,FFFFFE19A5A6,FFFFFF21567B,FFFFFC92F635,FFFFF9B6D31C,FFFFFF7EB7DB,FFFFFFFFF045,0000012183B2,00000121F257,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
144,0000A3862B9E,FFFCEE554DA1,000009FEE38F,FFFFFE197C40,FFFFFF2C0694,FFFFFCADC628,FFFFF92E3516,FFFFFF7CBFE4,FFFFFFFFEBA7,0000012184CB,00000121F301,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
145,0000A2B246DF,FFFCE49D71CC,00000A0F0426,FFFFFE19EABD,FFFFFF36AFDC,FFFFFCCAF218,FFFFF960EBE6,FFFFFF7D8880,FFFFFFFFEE2B,0000012185F2,00000121F41E,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
146,0000A108AA6E,FFFCDAA77F1A,00000A1F98DC,FFFFFE19AEE2,FFFFFF417102,FFFFFCEA2CB7,FFFFF9489D0F,FFFFFF7D3716,FFFFFFFFEDD4,000001218713,00000121F603,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
147,00009F8A8CB6,FFFCD0F4803C,00000A3016E0,FFFFFE19C291,FFFFFF4B84E4,FFFFFD0A6312,FFFFF9A5B5D2,FFFFFF7E9F24,FFFFFFFFF1DE,000001218839,00000121F7A2,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
148,00009EDACDB8,FFFCC7B23857,00000A40B436,FFFFFE1ACE98,FFFFFF547C6F,FFFFFD2ABCB0,FFFFF9F4087A,FFFFFF7FCF90,FFFFFFFFF563,000001218931,00000121F9A1,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
149,00009DEDD25F,FFFCBD964202,00000A54CA88,FFFFFE1C2AE7,FFFFFF5DD2ED,FFFFFD4F577E,FFFFFAA7EE24,FFFFFF827E10,FFFFFFFFFCB0,0000012189CD,00000121FC9E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
150,00009CED13E3,FFFCB41361AD,00000A676FDF,FFFFFE1D2CEF,FFFFFF66227D,FFFFFD731E1B,FFFFFA618C50,FFFFFF817F18,FFFFFFFFFA8E,000001218A5F,000001220088,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
151,00009BEBF7F1,FFFCAA3C3283,00000A7C0D37,FFFFFE1E7DB8,FFFFFF6E3EDE,FFFFFD999FB5,FFFFFA1D9922,FFFFFF808955,FFFFFFFFF885,000001218AAC,00000122047E,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
152,00009A8333C8,FFFCA09D51DF,00000A9049D9,FFFFFE1F34E5,FFFFFF75CB24,FFFFFDC0A469,FFFFF9E68590,FFFFFF7FC408,FFFFFFFFF718,000001218A9D,0000012208CC,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
153,0000998BFA78,FFFC9761078C,00000AA47A30,FFFFFE20636B,FFFFFF7C7817,FFFFFDE7C586,FFFFF990ACDD,FFFFFF7E8B16,FFFFFFFFF45C,000001218A07,000001220DDF,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
154,0000988CF863,FFFC8D81E40F,00000ABBC9E7,FFFFFE21F1ED,FFFFFF8319DC,FFFFFE12F706,FFFFF9998497,FFFFFF7EB640,FFFFFFFFF554,00000121890E,000001221332,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
155,00009726B5AE,FFFC839296EA,00000AD3D0B3,FFFFFE2317C5,FFFFFF8960DB,FFFFFE3FC274,FFFFF9644FD1,FFFFFF7DF811,FFFFFFFFF3E1,000001218752,0000012219C2,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
156,000096CA960E,FFFC79249F59,00000AEFC392,FFFFFE2605ED,FFFFFF8F06AC,FFFFFE709476,FFFFF96CF383,FFFFFF7E227F,FFFFFFFFF4B9,000001218525,0000012220BD,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
157,000095A9BE78,FFFC6FABE52F,00000B087DCF,FFFFFE270CD5,FFFFFF93D365,FFFFFE9CF725,FFFFF9DC7886,FFFFFF7FCFE6,FFFFFFFFF96B,000001218242,000001222ABD,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
158,000093F142BA,FFFC66013AB7,00000B22360D,FFFFFE273335,FFFFFF988D7D,FFFFFECBC0F9,FFFFF94C9953,FFFFFF7DBCAE,FFFFFFFFF493,000001217F50,00000122333F,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
159,0000931E016B,FFFC5CCDC1D6,00000B3C1F32,FFFFFE289528,FFFFFF9C58ED,FFFFFEFA3515,FFFFF9B6DE23,FFFFFF7F5656,FFFFFFFFF925,000001217BD9,000001223BC2,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
160,00009195BA17,FFFC5246818A,00000B5B1CC0,FFFFFE298CBC,FFFFFFA06E69,FFFFFF300FBE,FFFFFA0AE77E,FFFFFF809C68,FFFFFFFFFCE2,000001217860,0000012245E3,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
161,000090D5CC6A,FFFC48015593,00000B7B0EE0,FFFFFE2BAB8C,FFFFFFA39AAE,FFFFFF662441,FFFFF9BBA699,FFFFFF7F7C3C,FFFFFFFFFA6B,000001217480,0000012251E0,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
162,00009014AE98,FFFC3DB68BA9,00000B9C238A,FFFFFE2DA2B5,FFFFFFA647CF,FFFFFF9C1684,FFFFF8CF7AF5,FFFFFF7C0DE5,FFFFFFFFF230,0000012170CC,000001225F67,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
163,00008E7898AE,FFFC33C454A6,00000BBC5189,FFFFFE2DADD1,FFFFFFA8BBB9,FFFFFFD022F5,FFFFF8C4889E,FFFFFF7BEECE,FFFFFFFFF253,000001216E39,000001226E9E,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
164,00008DAC3521,FFFC28E4E1F4,00000BE1A15D,FFFFFE2FC445,FFFFFFAA99C2,0000000ADE40,FFFFF96DBF0F,FFFFFF7E755A,FFFFFFFFF93D,000001216CB4,000001227CEC,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
165,00008C8CFB44,FFFC1E2E8640,00000C074038,FFFFFE30DD3B,FFFFFFAC0EAC,0000004385A5,FFFFF95FEF6D,FFFFFF7E4B74,FFFFFFFFF93E,000001216C70,000001228E0B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
166,00008B91E37D,FFFC138E053B,00000C2DCBE8,FFFFFE32443B,FFFFFFAD041C,0000007BCC2E,FFFFF8FCEBA6,FFFFFF7CE114,FFFFFFFFF60A,000001216E2F,000001229F86,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
167,00008AEBB7E0,FFFC08B46B6E,00000C5688B8,FFFFFE344DA5,FFFFFFAD67B7,000000B45D4A,FFFFF8EB7675,FFFFFF7CA97B,FFFFFFFFF5EE,0000012171CD,00000122B1CA,000001000000,000001000000,000001000000,000001000000,00000121649A,000001000000,000001000000
168,000089522BE5,FFFBFDA39B47,00000C8061B3,FFFFFE33E99B,FFFFFFADD03A,000000EC2BBF,FFFFF95CCA99,FFFFFF7E5DDF,FFFFFFFFFABB,00000121775C,00000122C44A,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
169,000087B45B30,FFFBF2E778DA,00000CAA004A,FFFFFE3350F4,FFFFFFADD907,00000123448E,FFFFF98A2124,FFFFFF7F12B3,FFFFFFFFFD01,000001217EF1,00000122D7B7,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
170,0000863646C5,FFFBE8774422,00000CD3A3B0,FFFFFE32C9C8,FFFFFFAD7659,000001592376,FFFFF95E8D05,FFFFFF7E78D7,FFFFFFFFFBE5,000001218867,00000122EBCE,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
171,000084E1D250,FFFBDD1CEF88,00000D01B004,FFFFFE330BF7,FFFFFFAC7D44,00000193E5C1,FFFFF936F83A,FFFFFF7DEE2D,FFFFFFFFFB15,000001219313,000001230009,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
172,000083E366E2,FFFBD260B1A8,00000D2EDA2D,FFFFFE33B7BE,FFFFFFAB0985,000001CA32F0,FFFFF91B73EF,FFFFFF7D90C7,FFFFFFFFFA97,000001219FAE,000001231563,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
173,000083033BE4,FFFBC73867F8,00000D5EA4F7,FFFFFE34C1A2,FFFFFFA916BB,00000200E9A0,FFFFF8D8CE67,FFFFFF7CA053,FFFFFFFFF8C2,00000121AC6B,00000123294F,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
174,000082066FA8,FFFBBCCFB399,00000D8CB108,FFFFFE34F343,FFFFFFA70A1D,00000231BAE8,FFFFF998DBCB,FFFFFF7F7CD2,000000000078,00000121B90C,000001233CCF,000001000000,000001000000,000001000000,000001000000,00000121649A,000001000000,000001000000
175,00008135D1BE,FFFBB128B18A,00000DC038C3,FFFFFE362005,FFFFFFA44001,000002672A95,FFFFF9606D87,FFFFFF7EB2B0,FFFFFFFFFF06,00000121C469,000001234F4E,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
176,00007FFCFAD5,FFFBA619667A,00000DF25386,FFFFFE357DB2,FFFFFFA18841,000002970582,FFFFF9CAB4B2,FFFFFF804CB0,000000000391,00000121CFDB,00000123614A,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
177,00007F542143,FFFB9B6381A0,00000E246D39,FFFFFE3683B9,FFFFFF9E46D7,000002C4BF3A,FFFFFA2ABDFF,FFFFFF81C018,0000000007CC,00000121D98A,0000012374B6,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
178,00007DE0443E,FFFB9103624C,00000E559AD5,FFFFFE34AA4F,FFFFFF9B57BA,000002EE79FD,FFFFFA37C18E,FFFFFF81FB37,0000000008E7,00000121E1BD,0000012384B8,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
179,00007DA5E041,FFFB85C3FEBA,00000E8B7A02,FFFFFE373761,FFFFFF96FFA4,0000031C4DDA,FFFFF9BBDCEA,FFFFFF80334B,0000000004E3,00000121E85E,00000123980B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
180,00007C55BB2E,FFFB7A6E1911,00000EC1CB6B,FFFFFE35F01F,FFFFFF9322D0,00000345E750,FFFFF9B992D6,FFFFFF8034EF,00000000055C,00000121EDDC,00000123A57B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
181,00007A83A9D7,FFFB7001BC6C,00000EF52593,FFFFFE32EA62,FFFFFF8F7E8C,0000036C48E1,FFFFF98A81E3,FFFFFF7F8E26,00000000043E,00000121F1C1,00000123B7EF,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
182,000078DD49E6,FFFB63F40CB2,00000F2EE0F0,FFFFFE317C80,FFFFFF8A6DD0,00000399A131,FFFFF913BC00,FFFFFF7DD9BA,000000000066,00000121F503,00000123CCBF,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
183,000077F0E04F,FFFB57D528C4,00000F6A2980,FFFFFE3268EE,FFFFFF8471EE,000003C5D75C,FFFFF93200A3,FFFFFF7E55F1,00000000023B,00000121F774,00000123E0CE,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
184,000076A1CE72,FFFB4CF62E4E,00000FA19301,FFFFFE3137CC,FFFFFF7F2D71,000003EAAF7A,FFFFF8B2F6A4,FFFFFF7C8255,FFFFFFFFFDFE,00000121F7E5,00000123F058,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
185,000075B50650,FFFB418463DA,00000FDBE6AF,FFFFFE31A835,FFFFFF78E983,00000410FA8E,FFFFF9353A31,FFFFFF7E76B2,00000000038F,00000121F73E,000001240143,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
186,00007496D388,FFFB35E2369C,00001017705D,FFFFFE316775,FFFFFF726E49,000004359359,FFFFF8E85257,FFFFFF7D5FCF,00000000013A,00000121F5BF,000001241028,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
187,00007338EBB2,FFFB2AF9F6E9,00001050DD91,FFFFFE2FDD8C,FFFFFF6C39AE,0000045689E9,FFFFF8ED5AD7,FFFFFF7D7D04,0000000001F4,00000121F34E,000001241FAE,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
188,000071A218B4,FFFB1FB2801D,0000108BE295,FFFFFE2DC03B,FFFFFF656FAB,000004782550,FFFFF8F0C95B,FFFFFF7D9450,0000000002BD,00000121F085,0000012430FD,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
189,00006FF0D6C1,FFFB140DD86E,000010C885E9,FFFFFE2BA81B,FFFFFF5DED11,0000049A6D1E,FFFFF8B9787A,FFFFFF7CCE93,000000000157,00000121EC9C,000001244208,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
