Cycle 33: imm_x=0x0000F323CBC4 imm_y=0x0000E44C2911 imm_z=0xFFFFE8197CC7 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 34: imm_x=0x0000F693996A imm_y=0x0000E4ED7224 imm_z=0xFFFFE8104AAB p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 35: imm_x=0x0000F8BF8D2E imm_y=0x0000E5640CB7 imm_z=0xFFFFE806D256 p_ct=0x000000F4BB47 p_si=0x000000028F5C p_bi=0x00000008B55D
Cycle 36: imm_x=0x0000FE27D8E4 imm_y=0x0000E5CD3F66 imm_z=0xFFFFE80538E9 p_ct=0x000000A950DC p_si=0x000000028F5C p_bi=0x000000541FC8
Cycle 37: imm_x=0x0001044A262E imm_y=0x0000E6F1CC16 imm_z=0xFFFFE8111106 p_ct=0x000000222EA4 p_si=0x000000028F5C p_bi=0x000000DB4200
Cycle 38: imm_x=0x00010E88E702 imm_y=0x0000E7110CD0 imm_z=0xFFFFE816FFEE p_ct=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 39: imm_x=0x000111AD0E05 imm_y=0x0000E8394203 imm_z=0xFFFFE818827B p_ct=0x000000708A4E p_si=0x000000028F5C p_bi=0x0000008CE656
Cycle 40: imm_x=0x000123207FF2 imm_y=0x0000E9919A93 imm_z=0xFFFFE80A44FF p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 41: imm_x=0x000125C12AA5 imm_y=0x0000EAF67662 imm_z=0xFFFFE802AEB1 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 42: imm_x=0x0001327FEA46 imm_y=0x0000ED4610A8 imm_z=0xFFFFE7ED5DDD p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 43: imm_x=0x0001369663B2 imm_y=0x0000ED340BD8 imm_z=0xFFFFE7E94FF4 p_ct=0x000000FA8FCC p_si=0x000000028F5C p_bi=0x00000002E0D8
Cycle 44: imm_x=0x000141E3409D imm_y=0x0000EDCACB83 imm_z=0xFFFFE7FE14BB p_ct=0x00000002962F p_si=0x000000028F5C p_bi=0x000000FADA75
Cycle 45: imm_x=0x000146C97D69 imm_y=0x0000EEBEB714 imm_z=0xFFFFE80E13E9 p_ct=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 46: imm_x=0x000156FC1299 imm_y=0x0000F0A4A529 imm_z=0xFFFFE826F5E8 p_ct=0x000000FABFEB p_si=0x000000028F5C p_bi=0x00000002B0B9
Cycle 47: imm_x=0x00015EA2BBA0 imm_y=0x0000F1F8DCDE imm_z=0xFFFFE82E1476 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 48: imm_x=0x000165D5A97C imm_y=0x0000F2A6BD16 imm_z=0xFFFFE82EE984 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 49: imm_x=0x00016D0B1391 imm_y=0x0000F326E0C1 imm_z=0xFFFFE8316801 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 50: imm_x=0x0001766C3A17 imm_y=0x0000F36DB1BB imm_z=0xFFFFE83B7123 p_ct=0x0000000AC4FA p_si=0x000000028F5C p_bi=0x000000F2ABAA
Cycle 51: imm_x=0x0001894C270E imm_y=0x0000F46C6143 imm_z=0xFFFFE8546769 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 52: imm_x=0x00018FD90651 imm_y=0x0000F6810D31 imm_z=0xFFFFE8675CFC p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 53: imm_x=0x0001943342C2 imm_y=0x0000F81A9F99 imm_z=0xFFFFE875AF03 p_ct=0x000000F525A3 p_si=0x000000028F5C p_bi=0x000000084B01
Cycle 54: imm_x=0x000197CD2612 imm_y=0x0000F96FE33A imm_z=0xFFFFE87FD410 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 55: imm_x=0x00019DB701AB imm_y=0x0000FB91DC13 imm_z=0xFFFFE88ECE83 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 56: imm_x=0x0001A12E279F imm_y=0x0000FD73C9B3 imm_z=0xFFFFE8A1AEBE p_ct=0x000000E28991 p_si=0x000000028F5C p_bi=0x0000001AE713
Cycle 57: imm_x=0x0001A1EB0788 imm_y=0x0000FE17FB6C imm_z=0xFFFFE8ABC028 p_ct=0x0000007A75C3 p_si=0x0000002C74B0 p_bi=0x00000059158D
Cycle 58: imm_x=0x0001A63486F1 imm_y=0x000101117726 imm_z=0xFFFFE8B51CCF p_ct=0x000000591991 p_si=0x000000028F5C p_bi=0x000000A45713
Cycle 59: imm_x=0x0001AA8132C0 imm_y=0x000104D01311 imm_z=0xFFFFE8B4024D p_ct=0x0000004EAE47 p_si=0x000000028F5C p_bi=0x000000AEC25D
Cycle 60: imm_x=0x0001AEAA91E1 imm_y=0x0001094E573F imm_z=0xFFFFE8B3898F p_ct=0x000000F2A7C9 p_si=0x000000028F5C p_bi=0x0000000AC8DB
Cycle 61: imm_x=0x0001AF534948 imm_y=0x00010B454F75 imm_z=0xFFFFE8B7C656 p_ct=0x000000AB64CF p_si=0x0000000C5454 p_bi=0x0000004846DD
Cycle 62: imm_x=0x0001B1C713B3 imm_y=0x00010FD1E85A imm_z=0xFFFFE8D2D77E p_ct=0x000000388D5E p_si=0x000000028F5C p_bi=0x000000C4E346
Cycle 63: imm_x=0x0001B3400BFB imm_y=0x000112CC4E55 imm_z=0xFFFFE8E382FD p_ct=0x000000061DBB p_si=0x000000028F5C p_bi=0x000000F752E9
Cycle 64: imm_x=0x0001B5107503 imm_y=0x00011895891A imm_z=0xFFFFE8E53173 p_ct=0x000000427DD7 p_si=0x000000028F5C p_bi=0x000000BAF2CD
Cycle 65: imm_x=0x0001B5F832A0 imm_y=0x000120A6A2ED imm_z=0xFFFFE8E533E7 p_ct=0x0000005F9824 p_si=0x000000028F5C p_bi=0x0000009DD880
Cycle 66: imm_x=0x0001B6BE030E imm_y=0x00012396505C imm_z=0xFFFFE8E5E56F p_ct=0x000000028F5C p_si=0x0000000622FA p_bi=0x000000F74DAA
Cycle 67: imm_x=0x0001B764D4E8 imm_y=0x0001281B56CE imm_z=0xFFFFE8F02AEF p_ct=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 68: imm_x=0x0001B7786779 imm_y=0x00012AB65C24 imm_z=0xFFFFE8F95EEC p_ct=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 69: imm_x=0x0001B785C83D imm_y=0x00012FC2D935 imm_z=0xFFFFE90049B5 p_ct=0x00000042EBF9 p_si=0x000000028F5C p_bi=0x000000BA84AB
Cycle 70: imm_x=0x0001B77F841D imm_y=0x0001381ABBFC imm_z=0xFFFFE901DEAF p_ct=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 71: imm_x=0x0001B73EC60F imm_y=0x00013C4E386C imm_z=0xFFFFE900C7EA p_ct=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 72: imm_x=0x0001B6BCABB3 imm_y=0x000147AB1841 imm_z=0xFFFFE8F4D280 p_ct=0x000000EB3BCB p_si=0x000000028F5C p_bi=0x0000001234D9
Cycle 73: imm_x=0x0001B61789EA imm_y=0x00014E78AD16 imm_z=0xFFFFE8EC05ED p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 74: imm_x=0x0001B60A515B imm_y=0x00014F3AF98B imm_z=0xFFFFE8E8DA33 p_ct=0x0000008AE472 p_si=0x0000006AC8F2 p_bi=0x0000000A529C
Cycle 75: imm_x=0x0001B526F339 imm_y=0x00015667F24E imm_z=0xFFFFE8F63AD8 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 76: imm_x=0x0001B47536CE imm_y=0x00015B876653 imm_z=0xFFFFE8FD693D p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 77: imm_x=0x0001B32264DF imm_y=0x000165660EE8 imm_z=0xFFFFE8FEEC08 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 78: imm_x=0x0001B186FD9C imm_y=0x00016BBB71C3 imm_z=0xFFFFE90375D4 p_ct=0x00000002B0B9 p_si=0x000000028F5C p_bi=0x000000FABFEB
Cycle 79: imm_x=0x0001B07BA1F9 imm_y=0x000171A74E1F imm_z=0xFFFFE91053F6 p_ct=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 80: imm_x=0x0001AF72F1E7 imm_y=0x000175BE0BF7 imm_z=0xFFFFE9249844 p_ct=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 81: imm_x=0x0001AF89D67C imm_y=0x000177396978 imm_z=0xFFFFE9304A36 p_ct=0x000000038DE9 p_si=0x000000028F5C p_bi=0x000000F9E2BB
Cycle 82: imm_x=0x0001ABE80392 imm_y=0x0001822203AB imm_z=0xFFFFE94FBC20 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 83: imm_x=0x0001AC22E193 imm_y=0x00018796A1B3 imm_z=0xFFFFE96025B3 p_ct=0x00000002B055 p_si=0x000000028F5C p_bi=0x000000FAC04F
Cycle 84: imm_x=0x0001A8DFD6DA imm_y=0x000191CEBA00 imm_z=0xFFFFE9818906 p_ct=0x0000008B718B p_si=0x000000028F5C p_bi=0x00000071FF19
Cycle 85: imm_x=0x0001A61EB841 imm_y=0x0001A0119275 imm_z=0xFFFFE9C61D6F p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 86: imm_x=0x0001A4FEE71D imm_y=0x0001A26531EB imm_z=0xFFFFE9E7C41C p_ct=0x000000F6E353 p_si=0x000000028F5C p_bi=0x000000068D51
Cycle 87: imm_x=0x0001A04E221F imm_y=0x0001AFE72C19 imm_z=0xFFFFEA385CF4 p_ct=0x0000007DFD65 p_si=0x000000028F5C p_bi=0x0000007F733F
Cycle 88: imm_x=0x0001A08BBC40 imm_y=0x0001B348575B imm_z=0xFFFFEA62008C p_ct=0x0000006B986D p_si=0x000000032901 p_bi=0x000000913E92
Cycle 89: imm_x=0x00019B47A78E imm_y=0x0001CB674BA3 imm_z=0xFFFFEB07D467 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 90: imm_x=0x0001990EE9B6 imm_y=0x0001CCBA7EF9 imm_z=0xFFFFEB4D5047 p_ct=0x000000E73DCD p_si=0x00000015C5D5 p_bi=0x00000002FC5E
