Cycle 32: imm_x=0x000081EE9FC9 imm_y=0xFFFFAE63BC49 imm_z=0xFFFFFC05F6B5 p_ct=0x000000BD8D5E p_si=0x0000003E24D4 p_bi=0x000000044DCE
Cycle 33: imm_x=0x0000822275AA imm_y=0xFFFFAC05731A imm_z=0xFFFFFC16FCDE p_ct=0x0000002A8CA6 p_si=0x000000D11728 p_bi=0x000000045C32
Cycle 34: imm_x=0x000085E4715A imm_y=0xFFFFA7E5794A imm_z=0xFFFFFBE7D0F9 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 35: imm_x=0x00008642DBB9 imm_y=0xFFFFA3FE61A7 imm_z=0xFFFFFB18225B p_ct=0x000000F8CD00 p_si=0x00000004A3A4 p_bi=0x000000028F5C
Cycle 36: imm_x=0x000089BAF7F9 imm_y=0xFFFF9EF740A7 imm_z=0xFFFFFBE6F010 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 37: imm_x=0x00008A288249 imm_y=0xFFFF9A1AFD40 imm_z=0xFFFFFB8E88A3 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 38: imm_x=0x00008CE04DAC imm_y=0xFFFF948BE077 imm_z=0xFFFFFAF70E7D p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 39: imm_x=0x000090E5639D imm_y=0xFFFF8E64A313 imm_z=0xFFFFF9A6BD96 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 40: imm_x=0x0000939A3F3B imm_y=0xFFFF8B4CAFC4 imm_z=0xFFFFFAAD7C4A p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 41: imm_x=0x00009567EDDA imm_y=0xFFFF867ADA44 imm_z=0xFFFFFC156E2F p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 42: imm_x=0x000096D211F3 imm_y=0xFFFF82142944 imm_z=0xFFFFFC984C04 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 43: imm_x=0x0000987A89B3 imm_y=0xFFFF7C40D3A0 imm_z=0xFFFFFB907F52 p_ct=0x000000F6DC6D p_si=0x000000028F5C p_bi=0x000000069437
Cycle 44: imm_x=0x000099055041 imm_y=0xFFFF77F88328 imm_z=0xFFFFFB093677 p_ct=0x000000F2FCA9 p_si=0x0000000A73FB p_bi=0x000000028F5C
Cycle 45: imm_x=0x00009B85B534 imm_y=0xFFFF7595C902 imm_z=0xFFFFFB6C015E p_ct=0x000000F378A5 p_si=0x000000028F5C p_bi=0x00000009F7FF
Cycle 46: imm_x=0x00009DA9DAC8 imm_y=0xFFFF7058D027 imm_z=0xFFFFFAB7F906 p_ct=0x000000E5D54E p_si=0x000000028F5C p_bi=0x000000179B56
