Cycle 33: imm_x=0x0000826AB7C7 imm_y=0xFFFFAC2583F6 imm_z=0xFFFFFC1F0836 p_ca=0x000000054B57 p_si=0x00000085B9F3 p_bi=0x00000074FAB6
Cycle 34: imm_x=0x00008560CA9F imm_y=0xFFFFA7ED4EF9 imm_z=0xFFFFFBF5B50B p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 35: imm_x=0x000086648A6A imm_y=0xFFFFA3FB3F36 imm_z=0xFFFFFB859B95 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 36: imm_x=0x0000893E3797 imm_y=0xFFFF9F495480 imm_z=0xFFFFFBC9596C p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 37: imm_x=0x00008A52BDA0 imm_y=0xFFFF9A4660B5 imm_z=0xFFFFFBA2F40E p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 38: imm_x=0x00008C9FC4F2 imm_y=0xFFFF950880B5 imm_z=0xFFFFFB500F1E p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 39: imm_x=0x00008FF1F540 imm_y=0xFFFF8F0A5D83 imm_z=0xFFFFFA8F87EC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 40: imm_x=0x000093028E41 imm_y=0xFFFF8B1E7D88 imm_z=0xFFFFFAC9412D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 41: imm_x=0x0000953AC3A9 imm_y=0xFFFF868D9D1C imm_z=0xFFFFFB6B2C7C p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 42: imm_x=0x0000970166B3 imm_y=0xFFFF821DC9A7 imm_z=0xFFFFFBD63BA9 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 43: imm_x=0x000098A99D21 imm_y=0xFFFF7CBF5829 imm_z=0xFFFFFB891180 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 44: imm_x=0x000099A9D41A imm_y=0xFFFF781188A6 imm_z=0xFFFFFB463B2A p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 45: imm_x=0x00009B8E4944 imm_y=0xFFFF74D81B70 imm_z=0xFFFFFB61B7B3 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 46: imm_x=0x00009D89E18F imm_y=0xFFFF704E7228 imm_z=0xFFFFFB094074 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 47: imm_x=0x0000A04B472F imm_y=0xFFFF6C4779E5 imm_z=0xFFFFFB2639B3 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 48: imm_x=0x0000A21B8423 imm_y=0xFFFF67AB42B0 imm_z=0xFFFFFB5A8A7F p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 49: imm_x=0x0000A293B934 imm_y=0xFFFF62B6491F imm_z=0xFFFFFBA27A20 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 50: imm_x=0x0000A4BEFE2B imm_y=0xFFFF5DE3BB08 imm_z=0xFFFFFB786311 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 51: imm_x=0x0000A6281580 imm_y=0xFFFF57D3BC3A imm_z=0xFFFFFB54FD61 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 52: imm_x=0x0000A770AA7A imm_y=0xFFFF524E4D0C imm_z=0xFFFFFB0C74A0 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 53: imm_x=0x0000A985EF6B imm_y=0xFFFF4C6A3B73 imm_z=0xFFFFFADDAA2A p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
